typecode,aircraft_type,airliner_type,aircraft_category,payload
333,,,,
,,,,
A124,Antonov An-124,Cargo,Heavy Transport,
A20N,Airbus A320,Mid-Size Passenger Jet,Narrow-body,Passenger
A21N,Airbus A320,Mid-Size Passenger Jet,Narrow-body,Passenger
A306,Airbus A300,Mid-Size Passenger Jet,Narrow-body,Passenger
A30B,Airbus A300,Mid-Size Passenger Jet,Narrow-body,Passenger
A310,Airbus A310,Mid-Size Passenger Jet,Wide-body,Passenger
A318,Airbus A310,Mid-Size Passenger Jet,Wide-body,Passenger
A319,Airbus A310,Mid-Size Passenger Jet,Wide-body,Passenger
A320,Airbus A320,Mid-Size Passenger Jet,Narrow-body,Passenger
A321,Airbus A320,Mid-Size Passenger Jet,Narrow-body,Passenger
A330,Airbus A330,Mid-Size Passenger Jet,Wide-body,Passenger
A332,Airbus A330,Mid-Size Passenger Jet,Wide-body,Passenger
A333,Airbus A330,Mid-Size Passenger Jet,Wide-body,Passenger
A339,Airbus A330,Mid-Size Passenger Jet,Wide-body,Passenger
A343,Airbus A340,Mid-Size Passenger Jet,Wide-body,Passenger
A345,Airbus A340,Mid-Size Passenger Jet,Wide-body,Passenger
A346,Airbus A340,Mid-Size Passenger Jet,Wide-body,Passenger
A359,Airbus A350,Mid-Size Passenger Jet,Wide-body,Passenger
A35K,Airbus A350,Mid-Size Passenger Jet,Wide-body,Passenger
A388,Airbus A380,Jumbo Passenger Jet,Wide-body,Passenger
A3ST,Airbus Beluga,Cargo,Heavy Transport,
AC50,Aero Commander 500,Twin Turboprop,Turboprop,Passenger
Airbus A320-214 (SL),Airbus A320,Mid-Size Passenger Jet,Narrow-body,Passenger
AN32,Antonov An-32,Millitary Turboprop,Transport,
AS32,Airbus Helicopters H215,Helicopter,Helicopter,
AS50,Airbus Helicopters H125,Helicopter,Helicopter,
AT43,ATR42,Passenger Turboprop,Turboprop,Passenger
AT45,ATR42,Passenger Turboprop,Turboprop,Passenger
AT46,ATR42,Passenger Turboprop,Turboprop,Passenger
AT72,ATR42,Passenger Turboprop,Turboprop,Passenger
AT73,ATR42,Passenger Turboprop,Turboprop,Passenger
AT75,ATR42,Passenger Turboprop,Turboprop,Passenger
AT76,ATR42,Passenger Turboprop,Turboprop,Passenger
B190,Beechcraft 1900,Passenger Turboprop,Turboprop,Passenger
B350,Beechcraft 200,Passenger Turboprop,Turboprop,Passenger
B38M,Boeing 737,Mid-Size Passenger Jet,Narrow-body,Passenger
B39M,Boeing 737,Mid-Size Passenger Jet,Narrow-body,Passenger
B407,Bell 407,Helicopter,Helicopter,
B412,Bell 412,Helicopter,Helicopter,
B462,British Aerospace 146,Mid-Size Passenger Jet,Narrow-body,Passenger
B712,Boeing 717,Light Passenger Jet,Narrow-body,Passenger
B721,Boeing 727,Mid-Size Passenger Jet,Narrow-body,Passenger
B732,Boeing 737,Mid-Size Passenger Jet,Narrow-body,Passenger
B733,Boeing 737,Mid-Size Passenger Jet,Narrow-body,Passenger
B734,Boeing 737,Mid-Size Passenger Jet,Narrow-body,Passenger
B735,Boeing 737,Mid-Size Passenger Jet,Narrow-body,Passenger
B736,Boeing 737,Mid-Size Passenger Jet,Narrow-body,Passenger
B737,Boeing 737,Mid-Size Passenger Jet,Narrow-body,Passenger
B738,Boeing 737,Mid-Size Passenger Jet,Narrow-body,Passenger
B739,Boeing 737,Mid-Size Passenger Jet,Narrow-body,Passenger
B744,Boeing 747,Jumbo Passenger Jet,Wide-body,Passenger
